unique	unique_null	directional	directional_null	edit_distance
452527	452527	452527	452527	Single_UMI
0	9469	0	9591	0
0	0	0	0	1
1	0	1	0	2
15	3	15	3	3
41	2	41	9	4
94	18	94	20	5
146	95	146	93	6
144	194	144	195	7
115	58	115	64	8
274	20	274	19	9
772	27	772	33	10
1767	53	1767	45	11
3249	58	3249	70	12
4562	72	4562	75	13
5087	119	5087	91	14
4111	207	4111	231	15
2138	518	2138	494	16
725	992	725	946	17
94	1654	94	1652	18
0	2304	0	2247	19
0	2531	0	2541	20
0	2203	0	2192	21
0	1396	0	1337	22
0	611	0	641	23
0	195	0	208	24
0	86	0	93	25
0	117	0	93	26
0	111	0	116	27
0	105	0	124	28
0	71	0	75	29
0	33	0	30	30
0	10	0	6	31
0	3	0	1	32
0	0	0	0	33
